qtr;time_remaining;result;shot_type;distance_ft;lead
1st Qtr;7:27;False;2;6;True
1st Qtr;7:22;True;2;17;True
1st Qtr;7:11;False;3;27;True
1st Qtr;5:16;False;3;25;True
1st Qtr;3:52;False;3;24;True
1st Qtr;2:58;False;2;18;False
2nd Qtr;6:11;False;2;3;True
2nd Qtr;5:15;True;2;1;True
2nd Qtr;4:30;True;2;1;True
2nd Qtr;4:03;True;2;1;True
2nd Qtr;2:48;False;3;23;True
2nd Qtr;0:32;True;2;2;True
3rd Qtr;5:27;True;3;24;True
3rd Qtr;4:51;True;3;28;True
3rd Qtr;3:47;False;3;32;True
3rd Qtr;3:42;False;3;27;True
4th Qtr;6:23;False;3;25;True
4th Qtr;4:01;True;3;25;True
4th Qtr;3:33;True;2;1;True
4th Qtr;3:15;True;3;25;True
4th Qtr;2:46;False;3;25;True
1st Qtr;9:14;True;3;26;False
1st Qtr;6:55;True;2;5;True
1st Qtr;6:39;False;3;29;False
1st Qtr;4:12;False;3;26;False
2nd Qtr;5:59;False;3;25;False
2nd Qtr;3:54;False;3;28;False
2nd Qtr;2:17;True;2;6;False
2nd Qtr;1:44;True;2;4;False
3rd Qtr;9:46;False;2;10;False
3rd Qtr;9:43;False;2;10;False
3rd Qtr;9:21;False;3;26;False
3rd Qtr;4:36;True;2;5;False
3rd Qtr;2:42;False;2;12;False
3rd Qtr;2:17;True;3;27;False
4th Qtr;5:29;True;2;9;False
4th Qtr;4:52;False;2;6;False
4th Qtr;4:04;False;3;23;False
4th Qtr;3:34;True;3;26;False
4th Qtr;2:38;True;3;26;False
4th Qtr;1:52;False;2;5;False
4th Qtr;1:11;True;3;35;False
4th Qtr;0:39;False;2;21;False
1st Qtr;9:06;False;3;26;True
1st Qtr;7:29;False;2;3;True
1st Qtr;7:10;True;3;27;True
1st Qtr;5:47;True;2;17;True
1st Qtr;3:57;True;2;5;True
2nd Qtr;7:15;True;2;18;True
2nd Qtr;6:47;True;3;27;True
2nd Qtr;6:22;True;3;28;True
2nd Qtr;3:53;True;3;28;True
2nd Qtr;2:50;True;3;26;True
2nd Qtr;1:28;True;3;25;True
2nd Qtr;0:44;False;3;24;True
2nd Qtr;0:13;False;2;9;True
3rd Qtr;10:48;True;3;26;True
3rd Qtr;9:57;False;3;27;True
3rd Qtr;9:16;True;2;21;True
3rd Qtr;7:12;False;2;8;True
3rd Qtr;3:03;False;3;30;True
4th Qtr;4:42;False;3;28;True
4th Qtr;2:33;False;2;5;True
4th Qtr;1:36;False;2;19;True
4th Qtr;1:10;False;2;6;True
1st Qtr;9:52;True;2;16;True
1st Qtr;5:57;False;2;18;False
1st Qtr;4:09;False;2;13;False
2nd Qtr;5:52;True;3;27;False
2nd Qtr;2:29;False;3;26;False
2nd Qtr;2:25;True;3;26;False
2nd Qtr;1:20;True;3;27;False
3rd Qtr;11:34;False;2;20;False
3rd Qtr;8:57;True;2;1;False
3rd Qtr;5:35;False;3;27;False
4th Qtr;8:10;False;2;5;False
4th Qtr;7:34;True;3;29;False
4th Qtr;6:00;False;3;29;False
4th Qtr;5:37;True;2;1;False
4th Qtr;4:07;False;2;12;False
4th Qtr;3:58;False;3;30;False
4th Qtr;3:38;False;3;31;False
1st Qtr;9:30;True;2;0;True
1st Qtr;7:46;True;2;5;True
1st Qtr;6:03;True;3;30;True
1st Qtr;2:14;False;3;27;True
2nd Qtr;7:35;False;3;29;False
2nd Qtr;5:27;True;3;26;True
2nd Qtr;2:46;True;2;5;True
2nd Qtr;1:50;False;3;23;True
3rd Qtr;11:48;False;3;27;True
3rd Qtr;8:29;True;3;27;True
3rd Qtr;5:18;True;3;30;False
3rd Qtr;4:42;True;2;6;True
3rd Qtr;4:20;False;3;34;True
3rd Qtr;2:26;False;2;11;True
3rd Qtr;1:39;True;3;24;True
3rd Qtr;1:11;False;3;32;True
4th Qtr;5:32;True;3;25;True
4th Qtr;3:36;False;2;7;True
4th Qtr;3:15;True;2;8;True
4th Qtr;2:46;False;3;22;True
4th Qtr;2:40;True;3;26;True
